Date dd/mm/yyyy,Time HH:MM,Division,Home Team,Away Team,Venue,Pitch,Home Score,Away Score
15/06/2023,20:00,,BRTA,PLOC,,,,
15/06/2023,20:00,,BRNA,BRTB,,,,
15/06/2023,20:00,,COR,PEL,,,,
15/06/2023,20:00,,TR,PLOB,,,,
15/06/2023,20:00,,PLOD,SKY,,,,
15/06/2023,20:00,,MALB,EAG,,,,
22/06/2023,20:00,,BRTB,COR,,,,
22/06/2023,20:00,,EAG,BRNA,,,,
22/06/2023,20:00,,SKY,MALB,,,,
22/06/2023,20:00,,PLOC,PLOD,,,,
22/06/2023,20:00,,PLOB,BRTA,,,,
22/06/2023,20:00,,PEL,TR,,,,
06/07/2023,20:00,,BRTA,PLOD,,,,
06/07/2023,20:00,,BRNA,SKY,,,,
06/07/2023,20:00,,COR,EAG,,,,
06/07/2023,20:00,,TR,BRTB,,,,
06/07/2023,20:00,,PLOB,PEL,,,,
06/07/2023,20:00,,MALB,PLOC,,,,
13/07/2023,20:00,,BRTB,PLOB,,,,
13/07/2023,20:00,,EAG,TR,,,,
13/07/2023,20:00,,SKY,COR,,,,
13/07/2023,20:00,,PLOC,BRNA,,,,
13/07/2023,20:00,,PLOD,MALB,,,,
13/07/2023,20:00,,PEL,BRTA,,,,
20/07/2023,20:00,,BRTA,MALB,,,,
20/07/2023,20:00,,BRNA,PLOD,,,,
20/07/2023,20:00,,COR,PLOC,,,,
20/07/2023,20:00,,TR,SKY,,,,
20/07/2023,20:00,,PLOB,EAG,,,,
20/07/2023,20:00,,PEL,BRTB,,,,
